address,lat,long
"944 S Peninsula Dr #5010, Daytona Beach, FL 32118",29.21370932,-81.00769553
"4 Oceans West Blvd APT 406B, Daytona Beach Shores, FL 32118",29.17198804,-80.98315519
"151 W Connecticut Ave, Edgewater, FL 32132",28.98568419,-80.90853484
"109 Longwood Dr, Ormond Beach, FL 32176",29.3245048,-81.05850703
"306 Taylor Ave, Daytona Beach, FL 32114",29.22133962,-81.02868888
"229 Columbus Ave, Daytona Beach, FL 32118",29.2533648,-81.02776393
"1424 Breaks Way, Port Orange, FL 32127",29.1165846,-80.973055
"1013 Fox Trace Ct, Port Orange, FL 32127",29.12999162,-80.99949624
"2906 Meleto Blvd, New Smyrna Beach, FL 32168",29.02380212,-81.02452496
"13 N Halifax Ave, Daytona Beach, FL 32118",29.22522417,-81.01421334
"839 Julia St, Daytona Beach, FL 32114",29.22120225,-81.04225656
"304 Spruce Pine Dr, Debary, FL 32713",28.87548483,-81.32842396
"907 Tree Garden Dr, Port Orange, FL 32127",29.12138853,-81.00273246
"2601 Lake Helen Osteen Rd, Deltona, FL 32738",28.93622997,-81.19806654
"14 Seaview Dr, Ormond Beach, FL 32176",29.3294539,-81.06017848
"237 S Clara Ave, Deland, FL 32720",29.02512662,-81.30715726
"905 Derbyshire Rd, Daytona Beach, FL 32117",29.22638945,-81.06096514
"607 Jefferson St, New Smyrna Beach, FL 32168",29.02548485,-80.93266442
"1435 Melshire Ave, Deltona, FL 32738",28.90373301,-81.2062237
"701 Herbert St, Port Orange, FL 32129",29.14344853,-81.00111223
"475 North St, De Leon Springs, FL 32130",29.11430599,-81.35833146
"6 Red Coach Ct #168, Daytona Beach, FL 32119",29.16980307,-81.03000834
"319 Emory Dr, Daytona Beach, FL 32118",29.26411267,-81.03260411
"1024 W Indian Oaks, Holly Hill, FL 32117",29.24037282,-81.05213464
"1279 Constitution Dr, Daytona Beach, FL 32119",29.16729598,-81.03405944
"2051 Pioneer Trl LOT 48, New Smyrna Beach, FL 32168",29.02613307,-80.95355024
"5422 James Dr, Port Orange, FL 32127",29.1210124,-80.98960041
"204 Butter Hill Dr, Deland, FL 32724",29.08528123,-81.31019866
"127 Cheshire Rd, Daytona Beach, FL 32118",29.18955014,-80.99074427
"405 W De Carlo Dr, Deltona, FL 32725",28.87344,-81.24805654
"109 Fountain Lake Blvd, Daytona Beach, FL 32117",29.22990991,-81.06928857
"1509 Randolph St, Deltona, FL 32725",28.88003528,-81.23191847
"22 Kimberly Ct #410, Daytona Beach, FL 32119",29.16960048,-81.02654107
"210 S Washington St, Ormond Beach, FL 32174",29.27838933,-81.0581513
"3006 Glin Cir, Ormond Beach, FL 32174",29.37699651,-81.13851027
"3110 Ocean Shore Blvd #1130, Ormond Beach, FL 32176",29.37144907,-81.07716526
"39 Fairway Cir, New Smyrna Beach, FL 32168",29.03329652,-80.94155909
"75 Seminole Ave, Ormond Beach, FL 32176",29.28440779,-81.04251522
"35 Azalea Dr, Ormond Beach, FL 32176",29.32861021,-81.06216192
"96 Howes St, Pt Orange, FL 32127",29.12720057,-80.98549724
"75 Crowell St, Port Orange, FL 32127",29.12658603,-80.98623767
"2964 Gibraltar Blvd, New Smyrna Beach, FL 32168",29.02605042,-80.98814354
"11 Palmetto Dunes Ct, Ormond Beach, FL 32174",29.28653824,-81.11681717
"92 Horseshoe Falls Dr, Ormond Beach, FL 32174",29.27008354,-81.08801254
"357 Sagewood Dr, Port Orange, FL 32127",29.09882848,-80.99049604
"357 Hickory Ave, Orange City, FL 32763",28.94411334,-81.32454494
"355 Heritage Estates Ln, Deland, FL 32720",29.00070902,-81.30991922
"3722 Ronda Dr, Deltona, FL 32738",28.87862239,-81.1580605
"400 S Caroline St, Daytona Beach, FL 32114",29.19930075,-81.03568834
"1706 Urbana Ave, Deltona, FL 32725",28.9111365,-81.25018382
"1325 Wicklow Ln, Ormond Beach, FL 32174",29.40291261,-81.14192778
"1436 Montecito Ave, Deltona, FL 32738",28.90410754,-81.19877602
"4040 Pioneer Way, New Smyrna Beach, FL 32168",29.03136602,-81.07849477
"1098 Kumquat Ct, Orange City, FL 32763",28.94124851,-81.28263766
"349 Cool Breeze Dr, Daytona Beach, FL 32124",29.21688585,-81.1234214
"1363 Calle Del Sol Cir, Pt Orange, FL 32129",29.15689529,-81.03334838
"3064 Telford Ln, Deltona, FL 32738",28.9041129,-81.17829196
"334 Oliver Dr, New Smyrna Beach, FL 32168",29.01094333,-80.96597416
"158 Inglewood Ct, Ormond Beach, FL 32174",29.26363137,-81.11959669
"350 S Seneca Blvd, Daytona Beach, FL 32114",29.19626656,-81.0413404
"21 Forestview Way, Ormond Beach, FL 32174",29.25625613,-81.14178771
"53 N Saint Andrews Dr, Ormond Beach, FL 32174",29.29922646,-81.09071726
"2410 Hazel Bishop Dr, New Smyrna Beach, FL 32168",29.0080703,-80.9645921
"708 Alabama St, Daytona Beach, FL 32114",29.20954464,-81.0615478
"116 Cedar St, Edgewater, FL 32141",28.91259484,-80.86470753
"1305 Bramley Ln, Deland, FL 32720",29.056823,-81.33243159
"316 Hazeltine Dr, Debary, FL 32713",28.90170702,-81.31768917
"3320 Saint James Ave, Deltona, FL 32738",28.95751743,-81.20553504
"579 Hamilton St, New Smyrna Beach, FL 32168",29.02672784,-80.94027743
"932 Sabalwood Ct, Port Orange, FL 32127",29.12972301,-80.99869727
"2413 Umbrella Tree Dr, Edgewater, FL 32141",28.95467901,-80.90890296
"2068 Elkcam Blvd, Deltona, FL 32725",28.91998928,-81.21294949
"285 S Gull Dr, Daytona Beach, FL 32119",29.15358298,-81.04951664
"1329 Wicklow Ln, Ormond Beach, FL 32174",29.40270516,-81.14208894
"38 Aaron Cir, Ormond Beach, FL 32174",29.26194844,-81.06696734
"114 LUNA CIR, ORMOND BEACH, FL 32174",29.25561259,-81.07071134
"3800 Saxon Dr #A-3, New Smyrna Beach, FL 32169",29.00622907,-80.88316816
"701 S Atlantic Ave #506, Daytona Beach, FL 32118",29.21769394,-81.00289617
"16 Hibiscus Dr, Ormond Beach, FL 32176",29.32487789,-81.05806528
"138 Kingston Ave, Daytona Beach, FL 32114",29.22664074,-81.02730337
"560 Fairmount Rd, Daytona Beach, FL 32114",29.21004432,-81.05569308
"1598 3rd St, Daytona Beach, FL 32117",29.22025952,-81.06589227
"2061 Tanglewood Dr, Orange City, FL 32763",28.96560524,-81.30431977
"835 E 24th Ave APT 111, New Smyrna Beach, FL 32169",29.01108033,-80.8816127
"555 Wildwood Dr, New Smyrna Beach, FL 32168",29.00828133,-80.95898923
"327 Kingslake Dr, Debary, FL 32713",28.91080717,-81.30760844
"1232 Siesta Key Cir, Port Orange, FL 32128",29.05952805,-81.02411557
"737 Pine Shores Cir, New Smyrna Beach, FL 32168",29.03074174,-80.94786812
"1560 Tivoli Dr, Deltona, FL 32725",28.90380191,-81.22961622
"116 Sea Pines Cir, Daytona Beach, FL 32114",29.18413066,-81.08426027
"205 Lake Gertie Rd, Deland, FL 32720",29.05127294,-81.30679173
"1017 Talton Ave, Deland, FL 32720",29.02386381,-81.32608152
"559 Everett St, Deltona, FL 32725",28.91739778,-81.26386382
"211 Verona Rd, Debary, FL 32713",28.88421459,-81.29717186
"1371 Valhalla St, Deltona, FL 32725",28.93697247,-81.2364475
"237 S Adelle Ave, Deland, FL 32720",29.02509521,-81.3114239
"702 New York Ave, South Daytona, FL 32119",29.17882736,-81.01821414
"603 Conrad Dr, New Smyrna Beach, FL 32168",29.06306848,-80.95240386
"323 Scotland Dr, Holly Hill, FL 32117",29.22760199,-81.04895329
"1347 Imperial Dr, Daytona Beach, FL 32117",29.22783921,-81.06345003
"54 Beverly St, Pt Orange, FL 32127",29.12570855,-80.98622946
"273 Tanglewood Ave, Pt Orange, FL 32127",29.13184252,-80.98507707
"228 Linden St, Pt Orange, FL 32127",29.13115138,-80.98530566
"739 Tumblebrook Dr, Port Orange, FL 32127",29.099478,-81.01468694
"612 Ruth St, Port Orange, FL 32127",29.14067483,-80.9937446
"289 Washington Pl, Ormond Beach, FL 32174",29.27669059,-81.06088413
"162 Brandy Hills Dr, Port Orange, FL 32129",29.13709682,-81.02275586
"309 S Montgomery Ave, Deland, FL 32720",29.02374711,-81.3207518
"1338 Ana Maria Cir, Port Orange, FL 32129",29.12705058,-81.03796458
"1625 Primo Ct, Holly Hill, FL 32117",29.25043351,-81.06415608
"3031 Etta Cir, Deltona, FL 32738",28.89523285,-81.18118762
"2384 John Anderson Dr, Ormond Beach, FL 32176",29.35023102,-81.07443066
"5501 S Atlantic Ave APT 511, New Smyrna Beach, FL 32169",28.97066075,-80.85313193
"1060 Roberts Ln, New Smyrna Beach, FL 32168",28.98678735,-80.92596887
"5500 Ocean Shore Blvd #UT-104, Ormond Beach, FL 32176",29.33372603,-81.0580734
"100 Longspur Ct, Daytona Beach, FL 32119",29.14807178,-81.0488349
"260 W Pine Ave, New Smyrna Beach, FL 32168",29.01958121,-80.94713439
"1099 Deerfoot Rd, Deland, FL 32720",28.99130878,-81.32275054
"150 S Grandview Ave, Daytona Beach, FL 32118",29.22300053,-81.00816253
"1859 Gatewood Dr, Deltona, FL 32738",28.91791739,-81.1815968
"1316 Phillips St, Daytona Beach, FL 32114",29.20832618,-81.05701917
"2270 Conway Dr, Deltona, FL 32738",28.92889858,-81.18327597
"918 Reed Canal Rd #105, Daytona Beach, FL 32119",29.15837188,-81.0193343
"2807 Turnbull Cove Dr, New Smyrna Beach, FL 32168",29.06751395,-80.97383224
"6186 Sabal Point Cir, Port Orange, FL 32128",29.07342245,-81.0311142
"145 Debary Dr, Debary, FL 32713",28.87778068,-81.3017939
"717 W Euclid Ave, Deland, FL 32720",29.02129057,-81.31716264
"1484 Wiltshire Ave, Deltona, FL 32725",28.89720098,-81.23263933
"424 Luna Bella Ln APT 228, New Smyrna Beach, FL 32168",29.03497066,-81.03143383
"4852 S Peninsula Dr, Ponce Inlet, FL 32127",29.08535338,-80.9348914
"631 Roy Ave, Daytona Beach, FL 32114",29.21653287,-81.03387543
"3013 Hunkin Cir, Deltona, FL 32738",28.88005805,-81.18099386
"880 John Anderson Dr, Ormond Beach, FL 32176",29.31142675,-81.05841014
"3183 Steamboat Ridge Rd, Port Orange, FL 32128",29.06881438,-81.04950429
"178 Windsor Dr, Port Orange, FL 32129",29.13414011,-81.03154646
"390 Blythville Ave, Deltona, FL 32725",28.872708220650708,-81.24763469
"44 Grizzly Bear Path #321, Ormond Beach, FL 32174",29.316005293369745,-81.10964867
"1221 Pressly Cir, Deland, FL 32720",28.988460840652248,-81.32564114
"486 Detroit Ter, Debary, FL 32713",28.92094773945918,-81.3475913
"404 S Beach St APT 1002, Daytona Beach, FL 32114",29.205960980487422,-81.01712234
"988 Shockney Dr, Ormond Beach, FL 32174",29.315293349879564,-81.09206494
"215 E Voorhis Ave #C, Deland, FL 32724",29.024852818760017,-81.30080713
"155 Lynwood Ln, Ormond Beach, FL 32174",29.27655558965805,-81.1025616
"228 Raintree Cir, Deland, FL 32724",29.081084124350028,-81.31006974
"101 Bent Tree Dr APT 78, Daytona Beach, FL 32114",29.206290774513537,-81.08731707
"2026 Toni St, Ormond Beach, FL 32174",29.27361125,-81.13161958
"2329 River Ridge Rd APT 1, Deland, FL 32720",28.97752315,-81.3589775
"38 Big Bear Path #79, Ormond Beach, FL 32174",29.31100326,-81.10373307
"5327 Georgia Peach Ave, Port Orange, FL 32128",29.1132966,-81.04958956
"909 Egret Ct, Edgewater, FL 32141",28.96496503,-80.89422684
"1859 E Normandy Blvd, Deltona, FL 32725",28.88646997,-81.21978673
"830 Airport Rd APT 305, Port Orange, FL 32128",29.06613625,-81.04388337
"489 Ocean Shore Blvd, Ormond Beach, FL 32176",29.30464452,-81.04552423
"8 N Atlantic Ave #321, Daytona Beach, FL 32118",29.22722808,-81.00801106
"120 Peterson Ct #2214, Daytona Beach, FL 32117",29.2466142,-81.03774722
"335 Quiet Trail Dr, Port Orange, FL 32128",29.06303193,-81.0616015
"803 W Arizona Ave, Deland, FL 32720",29.0349791,-81.31866706
"302 Wildwood Dr, Edgewater, FL 32132",28.98167974,-80.92004989
"3330 Bailey Ann Dr, Ormond Beach, FL 32174",29.39043577,-81.14309681
"2410 Hazel Bishop Dr, New Smyrna Beach, FL 32168",29.00810783,-80.96460283
"11 Sherrington Dr, Ormond Beach, FL 32174",29.32460782,-81.10852053
"125 Hickory Ln, Lake Helen, FL 32744",28.98295687,-81.21841587
"3515 Sonesta Ct, New Smyrna Beach, FL 32168",29.04199413,-81.03658362
"1456 Bay Grove Dr, Port Orange, FL 32129",29.14056642,-81.04181461
"6131 Sabal Point Cir, Port Orange, FL 32128",29.07168467,-81.03154711
"965 King Parc Rd, Orange City, FL 32763",28.92282606,-81.28561503
"1777 Van Allen Cir, Deltona, FL 32738",28.91525393,-81.16968942
"3043 S Atlantic Ave APT 403, Daytona Beach, FL 32118",29.16770915,-80.97731473
"289 Old Bubbly Rd, Pierson, FL 32180",29.24128051,-81.5105013
"1909 S Atlantic Ave #311 & 312, Daytona Beach, FL 32118",29.20483413,-80.99694432
"132 S Salisbury Ave, Deland, FL 32720",29.0269964,-81.31505626
"642 Chambers Way, Orange City, FL 32763",28.93870867,-81.27270304
"9 Indian Bear Path #332, Ormond Beach, FL 32174",29.31382209,-81.10738337
"745 Bay Dr, New Smyrna Beach, FL 32168",29.03049199,-80.95827687
"5163 Taylor Ave, Port Orange, FL 32127",29.12580269,-80.98280127
"2301 S Atlantic Ave #531, Daytona Beach Shores, FL 32118",29.19312838,-80.99131086
"498 E Halifax Ave, Oak Hill, FL 32759",28.86642582,-80.83275333
"231 S State Route 415, New Smyrna Beach, FL 32168",29.06307427,-80.94628912
"31 Royal Palm Cir, Pt Orange, FL 32127",29.12257751,-80.989589
"42 River Beach Dr, Ormond Beach, FL 32176",29.27614247,-81.03951758
"372 Black Lake Rd, Osteen, FL 32764",28.868332,-81.1370807
"3855 S Atlantic Ave APT 902, Daytona Beach Shores, FL 32118",29.13786878,-80.96164578
"918 Reed Canal Rd #444, Daytona Beach, FL 32119",29.15829692,-81.01934503
"5618 Durant Dr, Port Orange, FL 32127",29.11874463,-80.99113296
"2987 S Atlantic Ave APT 1706, Daytona Beach, FL 32118",29.16984166,-80.978569
"760 Springbank Ave, Orange City, FL 32763",28.94809208,-81.3085866
"1000 Walker St LOT 170, Daytona Beach, FL 32117",29.24525475,-81.05775586
"1628 Derbyshire Rd, Daytona Beach, FL 32117",29.24700704,-81.07266294
"309 Bellingrath Ter, Deland, FL 32724",28.98990115,-81.25917506
"2410 Tracy Ln, Deltona, FL 32738",28.91465059,-81.20167137
"1325 Wicklow Ln, Ormond Beach, FL 32174",29.40290326,-81.14198143
"107 Heron Point Way, Deland, FL 32724",28.98683521,-81.25974517
"2403 S Atlantic Ave APT 811, Daytona Beach Shores, FL 32118",29.19087264,-80.99012747
"3309 Woodland Dr, Edgewater, FL 32141",28.93597737,-80.90472208
"2028 Needle Palm Dr, Edgewater, FL 32141",28.96273676,-80.90590598
"27 Promenade At Lionspaw, Daytona Beach, FL 32124",29.19307151,-81.1025185
"222 Putnam Ave, Ormond Beach, FL 32174",29.29683139,-81.06842603
"147 Acapulco Ln, Daytona Beach, FL 32117",29.22308843,-81.04313207
"562 Mount Olympus Blvd, New Smyrna Beach, FL 32168",29.02571069,-80.98069506
"2820 Ocean Shore Blvd APT 13, Ormond Beach, FL 32176",29.36297774,-81.07350926
"170 N Yonge St #555, Ormond Beach, FL 32174",29.28678209,-81.06581814
"735 Evening Star Ln, Deland, FL 32724",29.00033671,-81.26459516
"205 Esther St, New Smyrna Beach, FL 32169",29.03996479,-80.90249623
"1520 Monroe St, Deland, FL 32720",29.00121684,-81.32117089
"794 Bennett Rd, South Daytona, FL 32119",29.17129484,-81.01630528
"319 Emory Dr, Daytona Beach, FL 32118",29.26417819,-81.0325612
"600 N Atlantic Ave #732, Daytona Beach, FL 32118",29.23531681,-81.01157712
"15 Dover Falls Rd, Ormond Beach, FL 32174",29.26770889,-81.0892106
"645 Moss Point Cove Ct, Debary, FL 32713",28.90221795,-81.27727647
"37 Camino Real Dr, Edgewater, FL 32132",28.97638489,-80.90192306
"1780 Carr St, Deland, FL 32720",29.08649743,-81.34974929
"355 W Castlewood Ln, New Smyrna Beach, FL 32168",29.01141401,-80.95739131
"392 Linda Cir, South Daytona, FL 32119",29.17741669,-81.007631
"1356 Beacon Dr, Daytona Beach, FL 32117",29.22880764,-81.06096492
"1909 S Atlantic Ave #301, Daytona Beach Shores, FL 32118",29.20498955,-80.99706213
"3430 Victory Palm Dr, Edgewater, FL 32141",28.93376495,-80.90142644
"4141 S Atlantic Ave APT 402, New Smyrna Beach, FL 32169",29.00543442,-80.876203
"1157 E Glen Falls Rd, Deland, FL 32720",29.04834485,-81.32154687
"4250 Hidden Lake Dr, Port Orange, FL 32129",29.13116746,-81.04232093
"1124 Garden Cir, Deland, FL 32720",29.01173709,-81.32568397
"310 Marion St, Daytona Beach, FL 32114",29.20564394,-81.02375906
"1560 Tivoli Dr, Deltona, FL 32725",28.90378312,-81.2295733
"126 Old Mill Pond Rd, Edgewater, FL 32141",28.94584881,-80.88882901
"653 Pelican Bay Dr, Daytona Beach, FL 32119",29.14702315,-81.04709877
"2391 E Timbercrest Dr, Deltona, FL 32738",28.90296611,-81.20220241
"1351 S Ridgewood Ave APT 21, Daytona Beach, FL 32114",29.18745998,-81.00968796
"4924 S Peninsula Dr, Ponce Inlet, FL 32127",29.08120087,-80.92964097
"2303 Orange Tree Dr, Edgewater, FL 32141",28.95865445,-80.90467692
"790 Nixon Ln, Port Orange, FL 32129",29.1456965,-81.00397314
"2311 Pine Tree Dr, Edgewater, FL 32141",28.95799627,-80.9054451
"2608 Neverland Dr, New Smyrna Beach, FL 32168",29.04129205,-81.00049777
"1958 Forest Ave, Daytona Beach, FL 32119",29.16516856,-81.03599081
"670 Chicken Farm Rd, Osteen, FL 32764",28.83913186,-81.14541727
"723 Dove Ave, Port Orange, FL 32129",29.14287516,-81.02563603
"509 Eastwood Ln, Daytona Beach, FL 32118",29.21420934,-81.0039946
"5300 S Atlantic Ave APT 5502, New Smyrna Beach, FL 32169",28.97155592,-80.85722164
"195 Belinda Dr, Deland, FL 32720",29.017733,-81.37492379
"2151 Waterford Estates Dr, New Smyrna Beach, FL 32168",28.99537949,-80.95248969
"9 Appaloosa Trl, Ormond Beach, FL 32174",29.27824888,-81.09220489
"1887 MAGNOLIA AVE, SOUTH DAYTONA, FL 32119",29.17310975,-81.02018888
"1589 Moravia Ave, Holly Hill, FL 32117",29.25669635,-81.04234304
"2433 Adams Ave, Deltona, FL 32738",28.93404053,-81.19312554
"2901 Corrigan Dr, Deltona, FL 32738",28.93974796,-81.18563381
"1640 Juno Trl APT 105D, Astor, FL 32102",29.17238598,-81.53034633
"37 Sackett Rd, Debary, FL 32713",28.88655635,-81.32564082
"1829 Lime Tree Dr, Edgewater, FL 32132",28.9689982,-80.90613707
"147 Hibiscus Rd, Edgewater, FL 32141",28.93424119,-80.8727699
"403 Blue Lake Ter, Deland, FL 32724",29.0342302,-81.27243404
"2936 Meleto Blvd, New Smyrna Beach, FL 32168",29.02454983,-81.02517169
"926 Lake Lindley Dr S, Deland, FL 32724",29.05307545,-81.28425627
"135 E Turgot Ave, Edgewater, FL 32132",28.9833442,-80.89907091
"1523 Zinnia Ave, Deltona, FL 32725",28.89229005,-81.23058437
"2586 Valmora Ct, Deltona, FL 32738",28.88558519,-81.19629006
"808 Bass Ave, New Smyrna Beach, FL 32169",28.96821574,-80.8526988
"96 E Bayshore Dr, Port Orange, FL 32127",29.11079425,-80.97260127
"51 S Ocean Palm Dr #51, Flagler Beach, FL 32136",29.42500657,-81.10619282
"814 Reed Canal Rd, South Daytona, FL 32119",29.1584716,-81.01086798
"55 Ocean Shore Blvd #UT-86, Ormond Beach, FL 32176",29.29372179,-81.04043034
"1345 Cork Dr, Ormond Beach, FL 32174",29.36940542,-81.13143207
"135 Sackett Rd, Debary, FL 32713",28.87929601,-81.32563017
"12 Kelly Bea Ct, Ponce Inlet, FL 32127",29.08929575,-80.93342137
"2790 Ranch Rd, Lake Helen, FL 32744",28.97117471,-81.19070373
"1316 N Peninsula Ave, New Smyrna Beach, FL 32169",29.04976377,-80.90522981
"328 W College Ct, Deland, FL 32720",29.04035277,-81.30926364
"402 Bark Cir #402, Deland, FL 32724",29.02380412,-81.27024714
"4545 S Atlantic Ave UNIT 3205, Ponce Inlet, FL 32127",29.10760656,-80.94271077
"16 Big Buck Trl, Ormond Beach, FL 32174",29.27183178,-81.09820772
"500 Cinnamon Cir, Deland, FL 32724",29.02264157,-81.27293714
"4621 Van Kleeck Dr, New Smyrna Beach, FL 32169",28.98856466,-80.86503197
"3013 Atlantic Ave #5070, Daytona Beach Shores, FL 32118",29.16882685,-80.97836953
"435 Seminole Ave, Lake Helen, FL 32744",28.9676092,-81.23746746
"629 Russell Dr, Daytona Beach, FL 32114",29.19543303,-81.02906599
"2407 S Peninsula Dr, Daytona Beach, FL 32118",29.19052384,-80.99314628
"364 Caddie Dr, Debary, FL 32713",28.90655381,-81.31522817
"3180 Parma Dr, Deltona, FL 32738",28.95411978,-81.21199246
"3 Fairgreen Ave, New Smyrna Beach, FL 32168",29.03929659,-80.94060204
"121 Bob White Ct #1210, Daytona Beach, FL 32119",29.14307253,-81.0472745
"458 E University Ave, Orange City, FL 32763",28.95050612,-81.29362452
"2765 Larkspur Rd, Deland, FL 32724",29.03715356,-81.24610729
"1610 3rd St, Daytona Beach, FL 32117",29.22035069,-81.06658264
"201 Sugar Mill Dr, New Smyrna Beach, FL 32168",29.01633318,-80.9787427
"5209 Bear Corn Run, Port Orange, FL 32128",29.11953004,-81.05578302
"4045 S Atlantic Ave, Port Orange, FL 32127",29.13070452,-80.95693803
"5306 Peach Blossom Blvd, Port Orange, FL 32128",29.1150949,-81.05535886
"219 Aston Grande Dr, Daytona Beach, FL 32124",29.1687873,-81.09649116
"104 Charles St, Edgewater, FL 32141",28.90483921,-80.86293541
"1504 Virginia Ave APT 209, Daytona Beach, FL 32114",29.18507464,-81.01065362
"2242 Fernwood St, Deltona, FL 32738",28.92891593,-81.18627953
"46 Ocean Shore Dr, Ormond Beach, FL 32176",29.33160637,-81.06371452
"6036 Hickory Grove Ln, Port Orange, FL 32128",29.09110283,-81.03025234
"44 Black Hickory Way, Ormond Beach, FL 32174",29.26913266,-81.13733902
"2274 Hawks Cove Cir, New Smyrna Beach, FL 32168",29.00851102,-80.95382849
"1009 Hill St, New Smyrna Beach, FL 32169",29.03187638,-80.89219983
"158 Fox Fire Cir, Daytona Beach, FL 32114",29.18152134,-81.08475732
"6200 Morning Dr, Port Orange, FL 32127",29.08476292,-80.98618974
"2947 GIBRALTAR BLVD, NEW SMYRNA BEACH, FL 32168",29.02495581,-80.98795964
"847 Jasmine Ave, Daytona Beach, FL 32117",29.23872025,-81.04428443
"112 Maple Ln, Lake Helen, FL 32744",28.9838638,-81.21539224
